Oligo	brain vs whole fly - T-Test_Change Direction	BrainMean	BrainSEM	BrainPresent	Brain:fly	head vs whole fly  - T-Test_Change Direction	HeadMean	HeadSEM	HeadPresent	Head:fly	Crop vs Whole flies t-test - T-Test_Change Direction	cropMean	cropSEM	cropPresent	ratio	midgut vs whole fly - T-Test_Change Direction	MidgutMean	MidgutSEM	MidgutPresent	Midgut:fly	Hind vs Whole  - T-Test_Change Direction	HindgutMean	HindgutSEM	Hindgutpresent	Hindgut:fly	Tubule t test vs whole fly	tubuleMean	tubuleSEM	tubulePresent	tubule:fly	ovary vs whole flies - T-Test_Change Direction	OvaryMean	OvarySEM	OvaryPresent	Ovary:fly	testis vs whole flies - T-Test_Change Direction	TestisMean	TestisSEM	TestisCall	Testis:fly	acc vs W - T-Test_Change Direction	AccMean	AccSEM	AccPresent	Acc:fly	LT vs whole fly - T-Test_Change Direction	l_tubMean	l_tubSEM	l_tubPresent	l_tub:fly	FB vs whole fly - T-Test_Change Direction	l_fatMean	l_fatSEM	l_fatPresent	l_fat:fly	tag vs whole flies - T-Test_Change Direction	tagMean	tagSEM	tagPresent	tag:fly	car vs Whole fly - T-Test_Change Direction	carMean	carSEM	carPresent	car:fly	SG vs whole fly - T-Test_Change Direction	Sgmean	Sgsem	Present	ratio	L_sg t	l_sg mean	l-sg sem	l_sg present	l_sg ratio	l_mid t	l_mid mean	l_mid sem	l_mid present	l_mid ratio	larvae hindgut vs whole fly  - T-Test_Change Direction	l_hind mean	l_hind sem	l_hind present	l_hind ratio	SptV vs W - T-Test_Change Direction	SptV mean	SptV sem	SptV present	SptV ratio	SptM vs W t-test - T-Test_Change Direction	SptM mean	SptM sem	SptM present	SptM ratio	Feeded larvae central nerve system vs whole flies  - T-Test_Change Direction	LcnsMean	LcnsSEM	call	ratio	Adult fat body vs whole flies  - T-Test_Change Direction	AFBmean	AFBSEM	AFBcall	ratio	Feeded larvae carcuss vs whole flies  - T-Test_Change Direction	LcarMean	LcarSEM	Lcar call	ratio	eye vs whole flies - T-Test_Change Direction	eye mean	eye sem	eye present	eye ratio	heart vs wholefly t-test - T-Test_Change Direction	heart mean	heart sem	heart present	heart ratio	lftrachea vs wholefly - T-Test_Change Direction	trachea mean	trachea sem	trachea present	trachea ratio	Drosophila S2 cells vs whole flies - T-Test_Change Direction	S2 Mean	S2 sem	S2 present	S2 ratio	FlyMean	FlySEM	FlyPresent		
1622965_s_at	Down	2.4	0.7	0	0	Down	3.5	0.5	0	0	Down	4	1	0	0	Down	3.8	1.5	0	0	Down	4.5	1.5	1	0	Down	2.8	0.3	0	0	Down	1.2	0.4	0	0	Down	7.9	3.1	3	0.1	Up	6547.6	44.3	4	73.4	Down	3.3	0.5	0	0	Down	2.8	0.7	0	0	Down	2.7	0.2	0	0	Down	15.1	1.9	2	0.2	Down	9.3	2.6	0	0.1	Down	5.9	1.2	0	0.07	Down	4.5	1.8	1	0.05	Down	0.7	0.2	0	0.01	Down	2.1	0.4	0	0.02	Down	4	1.4	0	0.05	Down	3.1	1	1	0.03	Down	6.1	3.8	1	0.07	Down	3.675	0.626331914	0	0.041176471	Down	1.15	0.494132236	0	0.012885154	Down	3.125	0.985203025	1	0.035014006	Down	2.325	2.525041254	0	0.02605042	Down	1.875	0.366003188	0	0.021008403	89.3	8.1	4		
1622966_at	None	11.2	0.9	0	0.8	None	10.5	2.5	0	0.7	None	12.2	2.1	0	0.8	None	23.5	4.3	0	1.6	None	11.7	1.2	0	0.8	None	15.1	0.8	0	1	Down	6	1.2	0	0.4	Up	139.3	11.6	4	9.4	None	7.1	2.2	0	0.5	None	16.3	2.9	0	1.1	None	29.5	5.4	1	2	None	12.2	2.8	0	0.8	None	15	8.4	0	1	None	11.3	3.2	0	0.76	None	8.9	1.3	0	0.6	None	18.6	3.3	0	1.25	None	11.8	3.3	0	0.8	None	10.6	2.1	0	0.72	None	21.3	1.7	0	1.43	None	14.85	3.7	0	1	None	17.9	7.8	0	1.21	None	16.375	2.489101243	0	1.102693603	Down	7.35	1.22099686	0	0.494949495	Down	5.175	1.467069074	0	0.348484848	Down	4.65	3.5	0	0.313131313	None	19.625	2.687122066	0	1.321548822	14.9	2.3	0		
1622967_at	None	3.7	0.8	0	1.7	None	1.5	0.3	0	0.7	None	5.1	2.6	0	2.4	None	2.5	0.6	0	1.2	Up	7.2	1.4	0	3.4	None	4.1	1.2	0	1.9	None	0.8	0.1	0	0.4	None	3.4	1.2	0	1.6	None	6.3	2.7	0	3	None	3.7	0.7	0	1.7	None	5.2	3.1	0	2.5	None	3	0.7	0	1.4	None	7.6	4.1	0	3.6	None	4.7	2.3	0	2.19	None	2.4	0.4	0	1.14	None	7.3	2.3	0	3.44	None	2.3	0.3	0	1.08	None	1.4	0.4	0	0.66	None	2.2	0.6	0	1.04	None	1.6	1.1	0	0.75	None	4.7	4.2	0	2.22	None	3.175	1.880768903	0	1.494117647	None	1.85	0.569356362	0	0.870588235	None	1.775	0.498957246	0	0.835294118	None	2.525	2.337199179	0	1.188235294	None	6.65	3.231227837	0	3.129411765	2.1	0.8	0		
1622968_at	None	80.8	5.3	4	0.9	Down	67.3	3.2	4	0.7	None	82.3	5.7	4	0.9	None	105.9	5.4	4	1.1	Down	62.7	4.3	4	0.7	Up	119.2	10.7	4	1.3	Up	128.5	7.3	4	1.4	Down	50.8	4.9	4	0.5	Up	308.3	15.2	4	3.3	Up	209	5.7	4	2.3	None	118.6	15.6	4	1.3	Down	80.4	3.4	4	0.9	Down	66.6	4.6	4	0.7	Up	387.2	25.2	4	4.18	Up	952	48.5	4	10.27	Up	150.1	7.6	4	1.62	Up	128.5	8.3	4	1.39	None	101.3	3.9	4	1.09	None	93.2	4.7	4	1.01	Up	152.475	6.7	4	1.64	None	104.7	12	4	1.13	Up	131.325	5.593504417	4	1.416284713	None	98.775	4.645674511	4	1.065246697	None	121.35	9.514681638	4	1.308708547	Up	184.375	37.56899209	4	1.988406579	Up	244.1	6.344814155	4	2.632515503	92.7	3.2	4		
1622969_at	None	1.1	0.8	0	0.3	None	1.3	0.8	0	0.4	None	0.6	0.1	0	0.2	None	0.6	0.1	0	0.2	None	0.7	0.1	0	0.2	Down	1.2	0.3	0	0.4	None	0.9	0.7	0	0.3	Up	19.6	1.4	4	5.8	None	1.3	0.6	0	0.4	None	1.1	0.3	0	0.3	None	1.6	0.4	0	0.5	None	1.6	0.6	0	0.5	None	2	1.5	0	0.6	None	4	1.8	0	1.18	None	1.1	0.3	0	0.32	None	0.9	0.2	0	0.25	None	0.7	0.4	0	0.21	None	2	0.7	0	0.57	None	3.3	1.6	0	0.98	None	1	1.3	0	0.29	None	2.5	1.2	0	0.74	None	0.65	0.16583124	0	0.191176471	None	1	0.477842373	0	0.294117647	None	1.5	1.166904738	0	0.441176471	None	1.05	1.260952021	0	0.308823529	None	6.075	1.287358406	0	1.786764706	3.4	1.5	0		
1622970_at	Up	134.3	8	4	1.6	Up	204.4	8.8	4	2.5	Up	230.7	8.1	4	2.8	Down	40.9	2.4	4	0.5	Up	350.9	11.1	4	4.3	Down	35.4	1.8	3	0.4	Down	6.4	1.5	0	0.1	Down	22.1	4.2	4	0.3	None	79.7	6.7	4	1	Down	17.8	0.6	2	0.2	Down	10.5	2.2	0	0.1	Up	226	6.1	4	2.8	Up	385.8	22.4	4	4.7	Up	610.3	13.2	4	7.45	None	75.8	4.1	4	0.93	Down	56	4.5	4	0.68	Up	170.3	13.6	4	2.08	None	86.1	2.6	4	1.05	None	111.1	10.1	4	1.36	None	83.525	6.9	4	1.02	None	58.9	11.4	4	0.72	Up	300.625	25.3413159	4	3.6695148	Up	263.825	6.722769147	4	3.220323467	None	74.45	6.571212471	4	0.90875801	Up	507.65	62.10579683	4	6.196521208	Down	8.575	1.21954568	1	0.104668904	81.9	7.4	4		
1622971_at	Up	185.9	4.6	4	2	None	87.6	4.5	4	1	Down	54	2.9	4	0.6	Down	54.1	2.9	4	0.6	Down	66.6	2.1	4	0.7	Down	53.9	1	4	0.6	Up	151.9	2	4	1.7	Up	130.8	0.5	4	1.4	Up	165.5	14.5	4	1.8	None	87.1	1.7	4	1	None	88.6	2	4	1	Up	200.7	8.5	4	2.2	Down	43.5	3.1	4	0.5	Up	111.4	5.8	4	1.22	Up	139.4	8.6	4	1.53	Down	45.8	5.4	4	0.5	Down	64.7	4.2	4	0.71	Down	36.5	2.3	4	0.4	Down	44.2	2.3	4	0.48	Up	143.075	6.8	4	1.57	Down	50.9	5.5	4	0.56	Down	55.8	3.349626845	4	0.612513721	None	85.475	4.639751251	4	0.938254665	Down	39.475	1.189800403	4	0.433315038	None	87.15	8.371578903	4	0.956641054	Down	69.55	2.772634127	4	0.763446762	91.1	5	4		
1622972_at	None	6.5	1.4	0	1	None	4.2	2.1	0	0.7	Up	12.2	1.3	0	1.9	None	3.2	0.4	0	0.5	None	9.1	1.3	0	1.4	Up	8.7	0.8	0	1.4	None	4.8	0.8	0	0.8	None	4.8	1.4	0	0.8	None	10.3	0.7	0	1.6	None	10.3	1.5	0	1.6	None	16.4	5.3	0	2.6	None	11.8	1.3	1	1.9	Up	14.6	2.5	1	2.3	None	18.5	8.5	1	2.92	None	9.5	2.3	0	1.5	None	5.7	1.1	0	0.9	None	9	1.5	2	1.41	Up	14	2.3	1	2.2	Up	13.7	1.9	0	2.16	None	9.95	2	3	1.57	None	13.2	6	1	2.08	Up	18.825	1.852644506	2	2.964566929	None	8.425	2.178828049	0	1.326771654	None	3.325	1.15497114	0	0.523622047	None	5.825	5.296775749	0	0.917322835	None	8.275	0.330088372	0	1.303149606	6.4	1.9	1		
1622973_at	Down	79	4.9	4	0.5	Down	113.1	6	4	0.8	None	155.1	1.7	4	1.1	Up	338	5.1	4	2.3	Down	118.8	5.7	4	0.8	Up	187.7	3.4	4	1.3	Up	249.5	13.1	4	1.7	Down	67.2	6.1	4	0.5	Up	221.3	12.1	4	1.5	Up	1164.4	11.3	4	8	Up	1115.5	174.3	4	7.6	None	127.2	6.9	4	0.9	None	145.2	3.4	4	1	Down	123.3	2.9	4	0.84	Up	239.1	21.6	4	1.64	Up	573.2	35	4	3.92	Up	391	47.8	4	2.68	Up	503.7	22.9	4	3.45	Up	389.3	13.2	4	2.67	None	192.85	35.2	4	1.32	Up	266.3	17.8	4	1.82	None	318.475	61.36389241	4	2.180588839	Down	109	5.790941202	4	0.746319754	Up	233.925	6.113015486	4	1.601677508	Up	220.875	13.8629903	4	1.512324546	Up	261.925	16.41408821	4	1.793392674	146.1	6.8	4		
1622974_at	Down	28	0.8	4	0.1	Up	968.4	60.3	4	1.9	Down	14.3	1.7	0	0	Down	3.7	1.2	0	0	Down	4.5	2.1	0	0	Down	4.2	1.7	0	0	Down	0.9	0.1	0	0	Down	1.1	0.2	0	0	Down	2.6	0.5	0	0	Down	5	0.9	0	0	Down	2.5	0.7	0	0	Down	40.3	8.4	4	0.1	Up	2606.8	235.1	4	5.1	Down	15	7.4	0	0.03	Down	3.5	2.3	0	0.01	Down	9	2.4	0	0.02	Down	4.3	1.1	0	0.01	Down	45.2	1.9	0	0.09	Down	48.8	5.4	3	0.1	Down	1.8	1.5	0	0	Down	87.6	17.9	4	0.17	Down	11.175	3.641742944	0	0.022072984	Up	938.175	33.70997318	4	1.853093674	None	492.95	152.6171599	4	0.973680312	Up	1153.725	176.0130748	4	2.278850427	Down	0.975	0.137689264	0	0.001925831	506.3	24	4		
1622975_at	Down	0.8	0.3	0	0	Down	0.6	0.1	0	0	Down	1.4	0.9	0	0	Down	1	0.4	0	0	Down	3.9	1.1	0	0	Down	3.1	0.7	0	0	Down	1.5	1	0	0	Up	2111.7	73.4	4	9.3	Down	5.7	2	0	0	Down	2.1	0.8	0	0	None	237.4	124.4	4	1	Down	0.9	0.1	0	0	Down	4.7	1.5	0	0	Down	9.5	5.9	0	0.04	Down	2.3	0.9	0	0.01	Down	2.9	1.1	0	0.01	Down	4	2	0	0.02	Down	3.4	1.6	0	0.01	Down	1.6	0.2	0	0.01	Down	1.6	1.6	0	0.01	Down	1.2	0.8	0	0.01	Down	4.425	2.377454872	0	0.019570986	Down	2.125	1.627049989	0	0.009398496	Down	1.1	0.376386326	0	0.004865104	Down	13.175	20.73666238	1	0.058270677	Down	0.85	0.095742711	0	0.003759398	226.1	17.4	4		
1622976_at	Up	56.3	2.8	4	2.6	None	18.9	1.2	4	0.9	None	22.4	2.6	4	1	Down	11.9	0.9	4	0.5	None	14.7	0.8	4	0.7	Down	13.1	0.3	4	0.6	Up	59.8	1.7	4	2.7	Down	6	0.2	2	0.3	Down	11.7	0.8	2	0.5	None	17.8	1.2	4	0.8	None	30.7	3.2	4	1.4	Up	37.6	2.2	4	1.7	Down	12.9	1.5	4	0.6	None	24.5	2.9	2	1.13	None	25.8	2.2	4	1.19	Down	13.9	1.3	4	0.64	None	21	1.1	4	0.96	Down	12.2	1.6	4	0.56	None	13.9	3	4	0.64	Up	90.95	14.2	4	4.18	None	15.6	1.4	4	0.72	None	18.85	0.554526825	4	0.866666667	None	15.5	0.715308791	4	0.712643678	Down	6.35	1.400892573	2	0.291954023	None	16.525	4.385867455	4	0.759770115	Up	43.6	2.380476143	4	2.004597701	21.8	2.6	4		
1622977_at	Down	2.6	0.7	1	0.2	Down	4.3	1.2	0	0.3	Down	5.9	2.5	2	0.4	None	9.1	2.7	1	0.6	Down	5.4	1.7	1	0.4	Down	2.5	0.5	0	0.2	Down	2.5	1	1	0.2	Up	196.2	3.8	4	13	Down	4.4	1.7	0	0.3	Down	3.9	0.3	0	0.3	Down	6.8	1.8	0	0.5	Down	4	1.1	0	0.3	Down	3.9	1.4	0	0.3	None	9.4	5.1	1	0.62	Down	3.5	1.1	0	0.23	Down	4.4	2.3	0	0.29	Down	3.6	0.7	0	0.24	Down	3.6	1.2	0	0.24	Down	4.6	1.6	0	0.31	Down	3.825	0.5	3	0.25	Down	6.2	4	0	0.41	Down	4.65	0.920597632	1	0.307438017	Down	3.525	1.81032916	0	0.233057851	Down	2.05	0.70296989	0	0.13553719	Down	4.875	2.123479848	2	0.32231405	Down	3.475	0.948134133	0	0.229752066	15.1	1	4		
1622978_at	Down	2.6	0.6	0	0.1	Down	1.6	0.5	0	0.1	Down	2	0.9	0	0.1	Down	1.3	0.9	0	0.1	Down	2.8	0.9	0	0.1	Down	2.1	0.9	0	0.1	Down	0.4	0.3	0	0	None	7.6	2	3	0.4	Up	76.2	13.7	4	4.1	Down	0.3	0.1	0	0	Down	2.8	1.4	0	0.2	Down	2.1	1.2	0	0.1	Down	1.1	0.3	0	0.1	None	7.4	2.4	0	0.4	Down	0.4	0.1	0	0.02	Down	0.2	0.1	0	0.01	Down	2.5	1	1	0.13	Down	2.3	1.2	1	0.12	Down	3.2	1.4	0	0.17	Down	0.675	0.6	0	0.04	Down	2.6	1.6	0	0.14	Down	0.875	0.642099421	0	0.046666667	Down	0.675	0.205649378	0	0.036	Down	0.975	0.555840205	0	0.052	Down	1.725	1.961929323	0	0.092	Down	0.875	0.742041104	0	0.046666667	18.8	3.9	4		
1622979_a_at	None	814.8	13.8	4	1	Up	1106.9	6.5	4	1.4	Up	1471.5	17	4	1.8	Up	1321.3	29.2	4	1.7	Up	1355.2	16.4	4	1.7	Up	1748.4	16	4	2.2	Down	498.4	7.5	4	0.6	Up	1818.8	53.7	4	2.3	Up	2920	203.1	4	3.7	Up	1426.3	24.7	4	1.8	Up	1253.3	40.6	4	1.6	None	897.8	10.6	4	1.1	Up	1342.6	26.1	4	1.7	Up	4252	125.6	4	5.34	Up	1413.9	30.3	4	1.78	None	828.1	13.1	4	1.04	None	779	17.4	4	0.98	Up	1594.8	33	4	2	Up	1547.9	58.9	4	1.95	Down	636.75	38.8	4	0.8	Up	1886.6	70.9	4	2.37	Down	652.7	22.5444376	4	0.82018095	Up	2074.425	58.44798792	4	2.606716512	Up	2282.725	132.5393927	4	2.868465695	None	768.4	32.42725191	4	0.965569239	None	911.4	38.98407795	4	1.145262629	795.8	36.1	4		
1622980_at	Down	164.7	2.5	4	0.8	Down	119.7	5.6	4	0.6	Down	149	7.9	4	0.7	Down	144.5	2.7	4	0.7	Down	127.8	6.2	4	0.6	Down	131.5	8	4	0.6	Up	452.2	12.9	4	2.2	Down	46.7	2.9	4	0.2	Up	241.5	6.7	4	1.2	Down	151.3	7.8	4	0.7	Down	117.5	6.2	4	0.6	Down	151	4.1	4	0.7	Down	106.5	2.7	4	0.5	Down	147	8.4	4	0.71	Up	299.1	12.6	4	1.45	Down	88.7	5.7	4	0.43	Down	156.2	4.1	4	0.76	Down	154.2	7.9	4	0.75	None	177.9	6.3	4	0.86	Up	466.925	29.7	4	2.26	Down	102.8	7.3	4	0.5	None	180.75	10.15221651	4	0.875620685	Down	87.9	2.747119704	4	0.425820516	Down	82.875	2.924430144	4	0.401477534	None	211.85	44.80182288	4	1.026280732	Up	389.875	1.579754728	4	1.888700497	206.4	10.9	4		
1622981_at	Up	208.7	2.9	4	1.4	Down	111.2	9	4	0.8	None	121.9	11	4	0.8	Down	105.5	0.8	4	0.7	None	124.1	5	4	0.9	Down	73.6	4.6	4	0.5	Up	341.6	10.6	4	2.3	Down	18.3	1.1	4	0.1	None	150.2	2.2	4	1	None	119.9	9.1	4	0.8	Down	120.6	5	4	0.8	None	141.7	6.2	4	1	Down	74.5	6.3	4	0.5	None	165.9	7.5	4	1.14	Up	218.9	11.5	4	1.5	None	156.7	11.5	4	1.08	None	167.8	6	4	1.15	Down	114.2	8.2	4	0.78	Down	106.9	5.2	4	0.73	None	168.525	12.4	4	1.16	None	117.4	25.7	4	0.81	None	150.325	5.615065301	4	1.032629229	Down	63.725	2.535210379	4	0.437746866	Down	81.65	5.494011892	4	0.560879272	Down	105.1	5.605949221	4	0.721964623	None	153.8	4.92138192	4	1.056500086	145.6	8.3	4		
1622982_at	Down	202.9	4	4	0.7	Down	221	3.8	4	0.8	Up	468.7	5.8	4	1.7	Up	430.3	16.1	4	1.6	Up	384.2	7.8	4	1.4	Up	734	8.9	4	2.7	Up	324.1	5.4	4	1.2	Down	29	3.1	4	0.1	None	288.6	7.9	4	1.1	Up	574.1	20.3	4	2.1	Down	131.1	10.5	4	0.5	Down	214.8	6.1	4	0.8	None	276.8	10.4	4	1	Up	540.2	19.2	4	1.99	None	273.2	6.3	4	1.01	Up	504.8	4.1	4	1.86	Up	369.8	16.2	4	1.36	Down	222.8	10.4	4	0.82	None	259.4	9.5	4	0.96	None	271.4	14.8	4	1	None	240	21.8	4	0.89	None	279.225	7.694302546	4	1.03006548	None	267.35	6.776122293	4	0.986258416	Down	242.825	4.4824426	4	0.895785299	Up	303.225	7.028691201	4	1.118601863	Up	346.75	10.67157439	4	1.279166282	271.1	2.5	4		
1622983_a_at	Down	82.3	2.8	4	0.4	Down	58.6	5.2	4	0.3	Down	86	5	4	0.4	Down	97.7	3.4	4	0.4	Down	61	2.8	4	0.3	Down	89.5	12	4	0.4	Up	480	7.2	4	2.2	Down	58.3	4.8	4	0.3	Down	150.6	8.7	4	0.7	Down	71.3	2.2	4	0.3	Down	52.7	5.6	4	0.2	Down	101.6	2.9	4	0.5	Down	62.4	5.6	4	0.3	Down	60.7	4.3	4	0.27	None	222.2	4.4	4	1	None	248.1	22.7	4	1.11	Down	128.8	4.9	4	0.58	Down	58.5	4	4	0.26	Down	73.3	1.6	4	0.33	Up	302.775	13.3	4	1.36	Down	69.8	5.6	4	0.31	Down	130.95	15.44552254	4	0.587944775	Down	56.425	1.81032916	4	0.25333932	Down	53.075	2.69826333	4	0.23829835	None	197.4	23.79551779	4	0.886294758	Up	313.4	9.752862828	4	1.407116399	222.7	23.5	4		
1622984_at	None	757.1	24.1	4	1	None	986.4	73.2	4	1.3	None	822.6	31.8	4	1.1	Down	585.5	36.6	4	0.8	Up	1252.7	29.5	4	1.6	Up	1193.2	53.4	4	1.5	None	721.1	21.5	4	0.9	Down	488.3	14.1	4	0.6	Down	517.8	12.9	4	0.7	None	843.6	62.1	4	1.1	Down	342.7	14.9	4	0.4	Up	1228.9	40.7	4	1.6	Up	1534.5	54	4	2	None	694.4	55.1	4	0.89	None	845.3	24.3	4	1.09	Down	558.6	21	4	0.72	Up	1052.8	30.9	4	1.35	None	825.7	63.6	4	1.06	None	667.7	38.4	4	0.86	None	774.375	85.8	4	1	None	838.5	67.2	4	1.08	None	774.85	77.68627614	4	0.997040468	Up	919.475	29.65980375	4	1.183137104	Up	924.725	33.03610083	4	1.189892556	Down	652.65	44.27870067	4	0.839799267	None	713.65	8.362465745	4	0.918291192	777.2	29.9	4		
1622985_at	None	5.7	2	0	1.1	None	5.3	1.5	0	1	None	5.8	1.7	0	1.1	None	9.5	1.6	0	1.8	None	6.9	1.4	1	1.3	None	4.5	1.3	0	0.9	None	2	0.8	0	0.4	Down	0.9	0.2	0	0.2	None	9	2.3	0	1.7	None	4.4	0.7	0	0.9	None	5	1.3	0	1	None	6.6	1.6	0	1.3	None	5.3	2.4	0	1	None	5.9	2	0	1.14	None	3.2	1	0	0.63	None	11	2	2	2.13	None	4.5	0.9	0	0.88	None	6.3	1.4	0	1.22	Down	1.4	0.4	0	0.28	None	3.15	0.8	0	0.61	None	9	3.4	1	1.75	None	5.85	1.179335971	0	1.13592233	Down	0.9	0.147196014	0	0.174757282	None	3	0.835663409	0	0.582524272	Down	1.475	1.108677891	0	0.286407767	None	3.75	1.62711401	0	0.72815534	5.2	1.1	0		
1622986_at	None	4.7	1.3	0	1.3	None	6.6	0.9	0	1.7	None	4.6	2	0	1.2	None	6	1.9	0	1.6	None	6.3	0.9	0	1.7	Up	5.9	0.5	0	1.6	None	3.3	0.8	0	0.9	None	5.4	1.3	1	1.4	None	9.6	2.9	0	2.5	None	7.3	2.3	0	2	None	8.8	3	0	2.3	None	4.7	2.3	0	1.2	None	10	3.3	0	2.7	Up	13	2.7	0	3.46	None	5.3	2	1	1.41	Up	9.3	0.7	1	2.48	None	5.5	1.4	0	1.47	None	7.2	1	0	1.92	None	6.4	0.6	0	1.71	None	2.925	0.3	0	0.78	None	7	3.4	0	1.85	None	2.9	1.465719391	0	0.773333333	None	4.2	1.860555473	0	1.12	None	4.675	0.895707355	0	1.246666667	None	1.875	0.928708781	0	0.5	None	5.15	1.681517172	0	1.373333333	3.8	1.1	1		
1622987_at	None	4	1	0	1.6	None	4.8	1.4	0	1.9	None	4.7	2.2	0	1.9	None	3.5	1.5	0	1.4	None	3.6	1.4	0	1.4	None	2.8	0.6	0	1.1	None	5	0.2	1	2	None	4.3	1.2	0	1.7	None	5	2.7	0	2	None	3.4	1.7	1	1.3	None	5.1	2.5	0	2	None	1.9	0.7	0	0.8	None	4.5	2.1	0	1.8	None	3.8	1	0	1.49	None	4.5	1.9	0	1.78	None	1.1	0.2	0	0.44	None	2.6	1.3	0	1.04	None	4.6	1	0	1.82	None	5.4	1.6	0	2.13	None	1.875	0.6	1	0.74	None	4.5	2	0	1.79	None	5.45	1.892308995	1	2.158415842	None	4.3	0.667083203	0	1.702970297	None	2.95	0.817006732	0	1.168316832	None	3.75	3.223352292	0	1.485148515	Up	150.975	8.006702921	4	59.79207921	2.5	0.8	0		
1622988_at	None	1.8	0.6	0	1.4	None	1.2	0.2	0	0.9	None	1	0.1	0	0.8	None	1.5	0.4	0	1.2	None	1.4	0.3	0	1.1	None	1.5	0.3	0	1.1	None	0.9	0.1	0	0.7	None	2.5	0.9	0	1.9	None	1.1	0.1	0	0.8	None	1.1	0.2	0	0.8	None	2.2	0.6	0	1.7	None	1.2	0.4	0	0.9	None	2	0.4	0	1.6	None	7.2	3	0	5.67	None	3	0.7	0	2.35	None	1.5	0.3	0	1.2	None	1.1	0.1	0	0.82	None	2	0.6	0	1.57	None	2.1	0.4	0	1.61	None	1.4	0.5	0	1.1	None	1.9	0.5	0	1.49	None	1.5	0.177951304	0	1.176470588	None	1.775	0.801431012	0	1.392156863	None	1.025	0.564763962	0	0.803921569	None	1	0.43204938	0	0.784313725	None	1.55	0.119023807	0	1.215686275	1.3	0.3	0		
1622989_at	Up	44.3	2	4	1.8	None	27.7	2.1	4	1.1	None	30.5	1.9	4	1.2	Up	37.2	2.1	4	1.5	Up	38.9	1.5	4	1.6	Down	13.9	1.2	2	0.6	Up	38	2.2	4	1.5	Down	14	2.2	4	0.6	None	27.9	3.2	4	1.1	Up	37.6	3.4	4	1.5	None	31.6	1.8	4	1.3	Up	45.7	0.9	4	1.8	None	35.5	4.6	4	1.4	Up	56.1	4.9	4	2.26	Up	68	7.6	4	2.74	None	31.2	2.9	4	1.26	Up	39.2	3	4	1.58	None	17.4	1	4	0.7	None	20.6	1.9	3	0.83	None	30.05	4.4	4	1.21	None	38.5	10.2	4	1.55	Up	43.925	2.396655656	4	1.771169355	None	31.475	1.859379377	4	1.269153226	None	24	2.177536835	4	0.967741935	None	29.9	1.937352145	4	1.205645161	Up	46.775	1.016017552	4	1.88608871	24.8	2.9	4		
